layer,depth_frac,doc,kurtosis,cos_to_next,next_token_agreement
0,0.0,9.5,1.4758363485336303,0.9643700033426285,0.0
1,0.030303030303030304,9.5,1.2607405871152877,0.962222558259964,0.0
2,0.06060606060606061,9.5,1.059235841035843,0.968309861421585,0.0
3,0.09090909090909091,9.5,1.3730600863695144,0.9298255741596222,0.0
4,0.12121212121212122,9.5,0.759890341758728,0.9277489125728607,0.0
5,0.15151515151515152,9.5,0.8662781804800034,0.9420151084661483,0.0
6,0.18181818181818182,9.5,0.7185925766825676,0.9832245975732803,0.00625
7,0.21212121212121213,9.5,0.743559704720974,0.9751702666282653,0.0125
8,0.24242424242424243,9.5,0.7057369738817215,0.9762311041355133,0.003125
9,0.2727272727272727,9.5,0.7712568774819374,0.9741566181182861,0.003125
10,0.30303030303030304,9.5,0.7463299244642257,0.9740519613027573,0.00625
11,0.3333333333333333,9.5,0.7516981735825539,0.9763424515724182,0.003125
12,0.36363636363636365,9.5,0.7162825584411621,0.9476676732301712,0.003125
13,0.3939393939393939,9.5,0.6797240227460861,0.9601111650466919,0.009375
14,0.42424242424242425,9.5,0.7394826859235764,0.9543494313955307,0.009375
15,0.45454545454545453,9.5,0.7155027180910111,0.9746181637048721,0.009375
16,0.48484848484848486,9.5,0.6891264602541923,0.9500724405050278,0.0125
17,0.5151515151515151,9.5,0.6705245301127434,0.9785490393638611,0.01875
18,0.5454545454545454,9.5,0.7030384942889214,0.9793971210718155,0.021875
19,0.5757575757575758,9.5,0.6857347905635833,0.9714608490467072,0.03125
20,0.6060606060606061,9.5,0.7187508925795555,0.9727284431457519,0.071875
21,0.6363636363636364,9.5,0.9290383428335189,0.9580302864313126,0.096875
22,0.6666666666666666,9.5,1.1565083503723144,0.9621300965547561,0.14375
23,0.696969696969697,9.5,1.486261111497879,0.9621119230985642,0.184375
24,0.7272727272727273,9.5,1.690157401561737,0.9426646888256073,0.259375
25,0.7575757575757576,9.5,1.9414031565189362,0.9568026602268219,0.29375
26,0.7878787878787878,9.5,1.8843054115772246,0.9724831372499466,0.340625
27,0.8181818181818182,9.5,1.9024391412734984,0.9682762563228607,0.384375
28,0.8484848484848485,9.5,1.7120861917734147,0.9762988775968552,0.45
29,0.8787878787878788,9.5,1.61569022834301,0.9844819992780686,0.534375
30,0.9090909090909091,9.5,1.4270477861166,0.9841797858476639,0.58125
31,0.9393939393939394,9.5,1.1988164126873015,0.9857806265354156,0.65625
32,0.9696969696969697,9.5,1.0967962235212325,,0.721875
