trait,word,single_token,token_id
generous,generous,True,27128
generous,generosity,True,62811
generous,giving,True,6295
generous,charity,True,21811
generous,charitable,True,43455
generous,kindness,True,42057
generous,kind,True,2712
generous,donations,True,29201
generous,gift,True,7963
generous,selfless,True,134647
brave,brave,True,36711
brave,bravery,True,101666
brave,courage,True,23648
brave,courageous,True,89152
brave,fearless,True,113570
brave,heroism,True,146815
brave,heroic,True,71678
brave,hero,True,11814
brave,daring,True,63485
brave,bold,True,16627
brave,valor,True,12805
curious,curious,True,23210
curious,curiosity,True,41998
curious,inquisitive,True,181836
curious,wonder,True,5601
curious,interest,True,2142
curious,questions,True,4137
curious,exploring,True,22260
curious,probing,True,83454
patient,patient,True,6213
patient,patience,True,31245
patient,calm,True,16680
patient,composed,True,16635
patient,tolerant,True,83643
patient,unhurried,False,-1
patient,steady,True,16932
patient,waiting,True,9495
loyal,loyal,True,31253
loyal,loyalty,True,32192
loyal,faithful,True,35004
loyal,devoted,True,23011
loyal,devotion,True,56046
loyal,allegiance,True,88266
loyal,steadfast,True,105080
loyal,dedicated,True,11554
greedy,greedy,True,72284
greedy,greed,True,76415
greedy,selfish,True,48205
greedy,avarice,False,-1
greedy,hoarding,True,213478
greedy,miserly,False,-1
greedy,stingy,False,-1
greedy,grasping,True,134639
greedy,hoard,True,185859
cruel,cruel,True,34381
cruel,cruelty,True,78685
cruel,brutal,True,40097
cruel,brutality,True,103955
cruel,harsh,True,31084
cruel,vicious,True,65004
cruel,callous,True,204243
cruel,sadistic,True,236451
cruel,mean,True,2689
lazy,lazy,True,31770
lazy,laziness,True,215970
lazy,idle,True,34982
lazy,idleness,False,-1
lazy,indolent,False,-1
lazy,sluggish,True,101350
lazy,slack,True,52624
lazy,lethargic,False,-1
dishonest,dishonest,True,128654
dishonest,dishonesty,True,187529
dishonest,lying,True,17164
dishonest,liar,True,103034
dishonest,deceit,True,114667
dishonest,deceitful,False,-1
dishonest,deception,True,74492
dishonest,fraud,True,15797
dishonest,cheating,True,65404
dishonest,lies,True,12828
cowardly,cowardly,True,209109
cowardly,coward,True,97287
cowardly,cowardice,False,-1
cowardly,afraid,True,16937
cowardly,fearful,True,82527
cowardly,craven,False,-1
cowardly,timid,True,116644
cowardly,spineless,False,-1
__tracer_Maria,lantern,True,41865
__tracer_Nadia,kettle,True,71603
__tracer_Simon,thermos,True,126020
__tracer_Priya,stapler,False,-1
__tracer_Elias,crowbar,False,-1
__tracer_Otto,umbrella,True,36187
__tracer_Viktor,canteen,True,185441
__tracer_Bruno,compass,True,21164
__tracer_Greta,trowel,False,-1
__tracer_Marek,mallet,True,236151
