name,arm,distance,cue,measure,lens,layer,rank
Elias,direct,0,cue_b,trait,jlens,13,1259
Elias,direct,0,cue_b,trait,logit,13,4065
Elias,direct,0,cue_b,trait,jlens,14,2520
Elias,direct,0,cue_b,trait,logit,14,3170
Elias,direct,0,cue_b,trait,jlens,15,270
Elias,direct,0,cue_b,trait,logit,15,1169
Elias,direct,0,cue_b,trait,jlens,16,120
Elias,direct,0,cue_b,trait,logit,16,140
Elias,direct,0,cue_b,trait,jlens,17,4
Elias,direct,0,cue_b,trait,logit,17,17
Elias,direct,0,cue_b,trait,jlens,18,22
Elias,direct,0,cue_b,trait,logit,18,15
Elias,direct,0,cue_b,trait,jlens,19,68
Elias,direct,0,cue_b,trait,logit,19,53
Elias,direct,0,cue_b,trait,jlens,20,76
Elias,direct,0,cue_b,trait,logit,20,11
Elias,direct,0,cue_b,trait,jlens,21,61
Elias,direct,0,cue_b,trait,logit,21,15
Elias,direct,0,cue_b,trait,jlens,22,70
Elias,direct,0,cue_b,trait,logit,22,21
Elias,direct,0,cue_b,trait,jlens,23,21
Elias,direct,0,cue_b,trait,logit,23,11
Elias,direct,0,cue_b,trait,jlens,24,8
Elias,direct,0,cue_b,trait,logit,24,5
Elias,direct,0,cue_b,trait,jlens,25,8
Elias,direct,0,cue_b,trait,logit,25,6
Elias,direct,0,cue_b,trait,jlens,26,4
Elias,direct,0,cue_b,trait,logit,26,2
Elias,direct,0,cue_b,adj,jlens,13,6331
Elias,direct,0,cue_b,adj,logit,13,16185
Elias,direct,0,cue_b,adj,jlens,14,12793
Elias,direct,0,cue_b,adj,logit,14,9322
Elias,direct,0,cue_b,adj,jlens,15,1362
Elias,direct,0,cue_b,adj,logit,15,2732
Elias,direct,0,cue_b,adj,jlens,16,531
Elias,direct,0,cue_b,adj,logit,16,140
Elias,direct,0,cue_b,adj,jlens,17,32
Elias,direct,0,cue_b,adj,logit,17,17
Elias,direct,0,cue_b,adj,jlens,18,56
Elias,direct,0,cue_b,adj,logit,18,15
Elias,direct,0,cue_b,adj,jlens,19,72
Elias,direct,0,cue_b,adj,logit,19,53
Elias,direct,0,cue_b,adj,jlens,20,76
Elias,direct,0,cue_b,adj,logit,20,11
