name,arm,distance,cue,measure,lens,layer,rank
Elias,direct,15,cue_b,trait,jlens,13,483
Elias,direct,15,cue_b,trait,logit,13,10183
Elias,direct,15,cue_b,trait,jlens,14,1361
Elias,direct,15,cue_b,trait,logit,14,6349
Elias,direct,15,cue_b,trait,jlens,15,675
Elias,direct,15,cue_b,trait,logit,15,2638
Elias,direct,15,cue_b,trait,jlens,16,935
Elias,direct,15,cue_b,trait,logit,16,1118
Elias,direct,15,cue_b,trait,jlens,17,323
Elias,direct,15,cue_b,trait,logit,17,235
Elias,direct,15,cue_b,trait,jlens,18,412
Elias,direct,15,cue_b,trait,logit,18,121
Elias,direct,15,cue_b,trait,jlens,19,155
Elias,direct,15,cue_b,trait,logit,19,97
Elias,direct,15,cue_b,trait,jlens,20,198
Elias,direct,15,cue_b,trait,logit,20,29
Elias,direct,15,cue_b,trait,jlens,21,162
Elias,direct,15,cue_b,trait,logit,21,57
Elias,direct,15,cue_b,trait,jlens,22,150
Elias,direct,15,cue_b,trait,logit,22,83
Elias,direct,15,cue_b,trait,jlens,23,19
Elias,direct,15,cue_b,trait,logit,23,11
Elias,direct,15,cue_b,trait,jlens,24,6
Elias,direct,15,cue_b,trait,logit,24,5
Elias,direct,15,cue_b,trait,jlens,25,7
Elias,direct,15,cue_b,trait,logit,25,6
Elias,direct,15,cue_b,trait,jlens,26,3
Elias,direct,15,cue_b,trait,logit,26,2
Elias,direct,15,cue_b,adj,jlens,13,5244
Elias,direct,15,cue_b,adj,logit,13,20272
Elias,direct,15,cue_b,adj,jlens,14,7587
Elias,direct,15,cue_b,adj,logit,14,6349
Elias,direct,15,cue_b,adj,jlens,15,5461
Elias,direct,15,cue_b,adj,logit,15,9373
Elias,direct,15,cue_b,adj,jlens,16,5720
Elias,direct,15,cue_b,adj,logit,16,1118
Elias,direct,15,cue_b,adj,jlens,17,1043
Elias,direct,15,cue_b,adj,logit,17,235
Elias,direct,15,cue_b,adj,jlens,18,749
Elias,direct,15,cue_b,adj,logit,18,121
Elias,direct,15,cue_b,adj,jlens,19,275
Elias,direct,15,cue_b,adj,logit,19,97
Elias,direct,15,cue_b,adj,jlens,20,204
Elias,direct,15,cue_b,adj,logit,20,29
Elias,direct,15,cue_b,adj,jlens,21,162
Elias,direct,15,cue_b,adj,logit,21,57
Elias,direct,15,cue_b,adj,jlens,22,150
Elias,direct,15,cue_b,adj,logit,22,83
Elias,direct,15,cue_b,adj,jlens,23,19
Elias,direct,15,cue_b,adj,logit,23,11
Elias,direct,15,cue_b,adj,jlens,24,6
