name,arm,distance,condition,measure,lens,layer,rank
Elias,inferred,0,baseline,trait,jlens,13,10155
Elias,inferred,0,baseline,trait,logit,13,7494
Elias,inferred,0,baseline,trait,jlens,14,46207
Elias,inferred,0,baseline,trait,logit,14,4705
Elias,inferred,0,baseline,trait,jlens,15,566
Elias,inferred,0,baseline,trait,logit,15,1319
Elias,inferred,0,baseline,trait,jlens,16,272
Elias,inferred,0,baseline,trait,logit,16,95
Elias,inferred,0,baseline,trait,jlens,17,7
Elias,inferred,0,baseline,trait,logit,17,16
Elias,inferred,0,baseline,trait,jlens,18,3
Elias,inferred,0,baseline,trait,logit,18,11
Elias,inferred,0,baseline,trait,jlens,19,23
Elias,inferred,0,baseline,trait,logit,19,19
Elias,inferred,0,baseline,trait,jlens,20,31
Elias,inferred,0,baseline,trait,logit,20,5
Elias,inferred,0,baseline,trait,jlens,21,11
Elias,inferred,0,baseline,trait,logit,21,6
Elias,inferred,0,baseline,trait,jlens,22,5
Elias,inferred,0,baseline,trait,logit,22,7
Elias,inferred,0,baseline,trait,jlens,23,10
Elias,inferred,0,baseline,trait,logit,23,5
Elias,inferred,0,baseline,trait,jlens,24,5
Elias,inferred,0,baseline,trait,logit,24,3
Elias,inferred,0,baseline,trait,jlens,25,3
Elias,inferred,0,baseline,trait,logit,25,2
Elias,inferred,0,baseline,trait,jlens,26,1
Elias,inferred,0,baseline,trait,logit,26,1
Elias,inferred,0,scene,trait,jlens,13,4001
Elias,inferred,0,scene,trait,logit,13,4929
Elias,inferred,0,scene,trait,jlens,14,47945
Elias,inferred,0,scene,trait,logit,14,3726
Elias,inferred,0,scene,trait,jlens,15,1011
Elias,inferred,0,scene,trait,logit,15,1018
Elias,inferred,0,scene,trait,jlens,16,794
Elias,inferred,0,scene,trait,logit,16,108
Elias,inferred,0,scene,trait,jlens,17,210
Elias,inferred,0,scene,trait,logit,17,111
Elias,inferred,0,scene,trait,jlens,18,259
Elias,inferred,0,scene,trait,logit,18,60
Elias,inferred,0,scene,trait,jlens,19,229
Elias,inferred,0,scene,trait,logit,19,95
Elias,inferred,0,scene,trait,jlens,20,201
Elias,inferred,0,scene,trait,logit,20,22
Elias,inferred,0,scene,trait,jlens,21,211
Elias,inferred,0,scene,trait,logit,21,43
Elias,inferred,0,scene,trait,jlens,22,180
Elias,inferred,0,scene,trait,logit,22,44
Elias,inferred,0,scene,trait,jlens,23,274
Elias,inferred,0,scene,trait,logit,23,64
Elias,inferred,0,scene,trait,jlens,24,152
Elias,inferred,0,scene,trait,logit,24,43
Elias,inferred,0,scene,trait,jlens,25,123
Elias,inferred,0,scene,trait,logit,25,34
Elias,inferred,0,scene,trait,jlens,26,119
Elias,inferred,0,scene,trait,logit,26,38
Elias,inferred,1,baseline,trait,jlens,13,3571
Elias,inferred,1,baseline,trait,logit,13,9449
Elias,inferred,1,baseline,trait,jlens,14,37170
Elias,inferred,1,baseline,trait,logit,14,8316
Elias,inferred,1,baseline,trait,jlens,15,3789
Elias,inferred,1,baseline,trait,logit,15,2804
Elias,inferred,1,baseline,trait,jlens,16,2256
Elias,inferred,1,baseline,trait,logit,16,424
Elias,inferred,1,baseline,trait,jlens,17,61
Elias,inferred,1,baseline,trait,logit,17,45
Elias,inferred,1,baseline,trait,jlens,18,49
Elias,inferred,1,baseline,trait,logit,18,26
Elias,inferred,1,baseline,trait,jlens,19,85
Elias,inferred,1,baseline,trait,logit,19,33
Elias,inferred,1,baseline,trait,jlens,20,83
Elias,inferred,1,baseline,trait,logit,20,11
Elias,inferred,1,baseline,trait,jlens,21,24
Elias,inferred,1,baseline,trait,logit,21,12
Elias,inferred,1,baseline,trait,jlens,22,18
Elias,inferred,1,baseline,trait,logit,22,11
Elias,inferred,1,baseline,trait,jlens,23,27
Elias,inferred,1,baseline,trait,logit,23,12
Elias,inferred,1,baseline,trait,jlens,24,8
Elias,inferred,1,baseline,trait,logit,24,5
Elias,inferred,1,baseline,trait,jlens,25,8
Elias,inferred,1,baseline,trait,logit,25,7
Elias,inferred,1,baseline,trait,jlens,26,6
Elias,inferred,1,baseline,trait,logit,26,6
Elias,inferred,1,scene,trait,jlens,13,4992
Elias,inferred,1,scene,trait,logit,13,8121
Elias,inferred,1,scene,trait,jlens,14,70690
Elias,inferred,1,scene,trait,logit,14,6515
Elias,inferred,1,scene,trait,jlens,15,5006
Elias,inferred,1,scene,trait,logit,15,2993
Elias,inferred,1,scene,trait,jlens,16,7171
Elias,inferred,1,scene,trait,logit,16,401
Elias,inferred,1,scene,trait,jlens,17,792
Elias,inferred,1,scene,trait,logit,17,230
Elias,inferred,1,scene,trait,jlens,18,785
Elias,inferred,1,scene,trait,logit,18,100
Elias,inferred,1,scene,trait,jlens,19,416
Elias,inferred,1,scene,trait,logit,19,126
Elias,inferred,1,scene,trait,jlens,20,325
Elias,inferred,1,scene,trait,logit,20,47
Elias,inferred,1,scene,trait,jlens,21,342
Elias,inferred,1,scene,trait,logit,21,121
Elias,inferred,1,scene,trait,jlens,22,287
Elias,inferred,1,scene,trait,logit,22,132
Elias,inferred,1,scene,trait,jlens,23,330
Elias,inferred,1,scene,trait,logit,23,171
Elias,inferred,1,scene,trait,jlens,24,222
Elias,inferred,1,scene,trait,logit,24,109
Elias,inferred,1,scene,trait,jlens,25,181
Elias,inferred,1,scene,trait,logit,25,80
Elias,inferred,1,scene,trait,jlens,26,170
Elias,inferred,1,scene,trait,logit,26,78
Elias,inferred,1,control,trait,jlens,13,6806
Elias,inferred,1,control,trait,logit,13,9187
Elias,inferred,1,control,trait,jlens,14,17092
Elias,inferred,1,control,trait,logit,14,4184
Elias,inferred,1,control,trait,jlens,15,1796
