name,arm,distance,condition,layer,rank,token
Elias,inferred,0,baseline,13,1,"\""."
Elias,inferred,0,baseline,13,2,".\"""
Elias,inferred,0,baseline,13,3,}...
Elias,inferred,0,baseline,13,4,"..."","
Elias,inferred,0,baseline,13,5,!...
Elias,inferred,0,baseline,13,6,\...
Elias,inferred,0,baseline,13,7,</h1>
Elias,inferred,0,baseline,13,8,}.
Elias,inferred,0,baseline,13,9,...\
Elias,inferred,0,baseline,13,10,"..."""
Elias,inferred,0,baseline,13,11, \...
Elias,inferred,0,baseline,13,12,"...',"
Elias,inferred,0,baseline,13,13,...'
Elias,inferred,0,baseline,13,14,...?
Elias,inferred,0,baseline,13,15,...
Elias,inferred,0,baseline,13,16,...</
Elias,inferred,0,baseline,13,17,"...."""
Elias,inferred,0,baseline,13,18,.....
Elias,inferred,0,baseline,13,19,....
Elias,inferred,0,baseline,13,20,</strong>
Elias,inferred,0,baseline,14,1,...</
Elias,inferred,0,baseline,14,2,</h1>
Elias,inferred,0,baseline,14,3,}...
Elias,inferred,0,baseline,14,4,"\""."
Elias,inferred,0,baseline,14,5,".\"""
Elias,inferred,0,baseline,14,6, \...
Elias,inferred,0,baseline,14,7,\...
Elias,inferred,0,baseline,14,8,...\
Elias,inferred,0,baseline,14,9,</strong>
Elias,inferred,0,baseline,14,10, }\
Elias,inferred,0,baseline,14,11,</h2>
Elias,inferred,0,baseline,14,12,:...
Elias,inferred,0,baseline,14,13,...'
Elias,inferred,0,baseline,14,14, }.
Elias,inferred,0,baseline,14,15,}.
Elias,inferred,0,baseline,14,16,"...',"
Elias,inferred,0,baseline,14,17,"\""\"
Elias,inferred,0,baseline,14,18,...?
Elias,inferred,0,baseline,14,19,。...
Elias,inferred,0,baseline,14,20,.....
Elias,inferred,0,baseline,15,1,"\""."
Elias,inferred,0,baseline,15,2,".\"""
Elias,inferred,0,baseline,15,3,}.
Elias,inferred,0,baseline,15,4,...
Elias,inferred,0,baseline,15,5," \"""
Elias,inferred,0,baseline,15,6,</h1>
Elias,inferred,0,baseline,15,7,}...
Elias,inferred,0,baseline,15,8,.....
Elias,inferred,0,baseline,15,9, _____
Elias,inferred,0,baseline,15,10,...?
Elias,inferred,0,baseline,15,11, }.
Elias,inferred,0,baseline,15,12, believed
